BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;36;2;552;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;36;3;2384;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;36;12;9780;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;36;44;40288;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;36;348;163220;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;36;2147;655500;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;36;17472;2628352;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;36;5;552;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;36;12;2384;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;36;33;9780;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;36;138;40288;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;36;804;163220;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;36;5535;655500;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;36;40727;2628352;
