BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;69;7680;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;73;13016;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;62;27344;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;105;53520;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;160;92648;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;236;67036;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;492;61952;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;34;7680;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;37;13016;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;33;27344;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;56;53520;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;85;92648;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;121;67036;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;248;61952;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;17;7680;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;20;13016;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;20;27344;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;33;53520;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;52;92648;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;66;67036;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;126;61952;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;9;7680;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;10;13016;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;13;27344;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;23;53520;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;37;92648;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;41;67036;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;67;61952;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;6;7680;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;8;13016;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;12;27344;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;21;53520;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;35;92648;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;29;67036;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;47;61952;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;32;9;7680;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;32;10;13016;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;32;19;27344;
